100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;7;69;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;7;57;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;7;71;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-1.81987e+006;31;59;8;71;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;7;13;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-1.81987e+006;31;59;8;75;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;7;12;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-1.81987e+006;31;59;8;70;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;-1.07374e+008;13;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-1.81987e+006;31;59;-1.07374e+008;74;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;-1.07374e+008;13;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-1.81987e+006;31;59;-1.07374e+008;43;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-2.75316e+006;37;39;-1.07374e+008;12;
